[Shoot] 時間:  0.22s | 弾数:299/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.75s | 弾数:192/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.77s | 弾数:191/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.78s | 弾数:190/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.80s | 弾数:189/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.82s | 弾数:188/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.83s | 弾数:187/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.85s | 弾数:186/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.87s | 弾数:185/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.88s | 弾数:184/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.90s | 弾数:183/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.92s | 弾数:182/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  3.93s | 弾数:181/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.95s | 弾数:180/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.97s | 弾数:179/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  3.98s | 弾数:178/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.00s | 弾数:177/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.02s | 弾数:176/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.03s | 弾数:175/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.05s | 弾数:174/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.07s | 弾数:173/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.08s | 弾数:172/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.10s | 弾数:171/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.12s | 弾数:170/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.13s | 弾数:169/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.15s | 弾数:168/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.17s | 弾数:167/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.18s | 弾数:166/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.20s | 弾数:165/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.22s | 弾数:164/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.23s | 弾数:163/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.25s | 弾数:162/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.27s | 弾数:161/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.28s | 弾数:160/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.30s | 弾数:159/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.32s | 弾数:158/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.33s | 弾数:157/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.35s | 弾数:156/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.37s | 弾数:155/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.38s | 弾数:154/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.40s | 弾数:153/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.42s | 弾数:152/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.43s | 弾数:151/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.45s | 弾数:150/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Skill Dmg] 時間:  4.45s | 名前:S1: アンチA.T.フィールド (通常)     | Dmg:   120,579 | Hits:1 | Buffs:None
[Shoot] 時間:  4.47s | 弾数:149/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.48s | 弾数:148/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.50s | 弾数:147/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.52s | 弾数:146/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.53s | 弾数:145/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.55s | 弾数:144/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.57s | 弾数:143/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.58s | 弾数:142/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.60s | 弾数:141/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.62s | 弾数:140/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.63s | 弾数:139/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.65s | 弾数:138/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.67s | 弾数:137/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.68s | 弾数:136/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.70s | 弾数:135/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.72s | 弾数:134/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.73s | 弾数:133/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.75s | 弾数:132/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.77s | 弾数:131/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.78s | 弾数:130/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.80s | 弾数:129/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.82s | 弾数:128/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.83s | 弾数:127/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.85s | 弾数:126/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.87s | 弾数:125/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.88s | 弾数:124/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.90s | 弾数:123/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.92s | 弾数:122/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.93s | 弾数:121/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.95s | 弾数:120/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  4.97s | 弾数:119/300 | Pellets: 1 | Dmg:     3,495 | Buffs: None
[Shoot] 時間:  4.98s | 弾数:118/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  5.00s | 弾数:117/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  5.02s | 弾数:116/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Shoot] 時間:  5.03s | 弾数:115/300 | Pellets: 1 | Dmg:     2,796 | Buffs: None
[Burst] Activate!
[Buff] Applied Burst: 殲滅態勢_Stage_0 (dummy_mode: 1) to アスカ：WILLE
[Buff] Applied Burst: 殲滅態勢_Stage_1 (weapon_dmg_buff: -0.4) to アスカ：WILLE
[Buff] Applied Burst: 殲滅態勢_Stage_3 (atk_buff_rate: 0.4467) to アスカ：WILLE
[Buff] Applied Burst: 殲滅態勢_Stage_4 (atk_dmg_buff: 0.3436) to アスカ：WILLE
[Shoot] 時間:  5.05s | 弾数:114/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.07s | 弾数:113/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.08s | 弾数:112/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.10s | 弾数:111/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.12s | 弾数:110/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.13s | 弾数:109/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.15s | 弾数:108/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.17s | 弾数:107/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.18s | 弾数:106/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.20s | 弾数:105/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.22s | 弾数:104/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.23s | 弾数:103/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.25s | 弾数:102/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.27s | 弾数:101/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.28s | 弾数:100/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Skill Dmg] 時間:  5.28s | 名前:S1: アンチA.T.フィールド (通常)     | Dmg:   351,570 | Hits:1 | Buffs:dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.30s | 弾数: 99/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.32s | 弾数: 98/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.33s | 弾数: 97/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.35s | 弾数: 96/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.37s | 弾数: 95/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.38s | 弾数: 94/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.40s | 弾数: 93/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.42s | 弾数: 92/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.43s | 弾数: 91/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.45s | 弾数: 90/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.47s | 弾数: 89/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.48s | 弾数: 88/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.50s | 弾数: 87/300 | Pellets: 1 | Dmg:     4,891 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.52s | 弾数: 86/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.53s | 弾数: 85/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.55s | 弾数: 84/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.57s | 弾数: 83/300 | Pellets: 1 | Dmg:     4,891 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
[Shoot] 時間:  5.58s | 弾数: 82/300 | Pellets: 1 | Dmg:     4,076 | Buffs: dummy_mode:1.00 | weapon_dmg_buff:-0.40 | atk_buff_rate:0.45 | atk_dmg_buff:0.34
