[Buff] Applied S1: インパクトエグゾスパイン (クリ率) (crit_rate_buff: 0.6) to イヴ
[Buff] Applied S2: イーグルアイエグゾスパイン (開幕バフ)_Stage_0 (atk_buff_fixed: 12777.0) to イヴ
[Buff] Applied S2: イーグルアイエグゾスパイン (開幕バフ)_Stage_1 (max_ammo_rate: 0.25) to イヴ
[Shoot] 時間:  0.22s | 弾数: 59/75  | Pellets: 1 | Dmg:    13,080 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間:  4.47s | 弾数:  8/75  | Pellets: 1 | Dmg:    13,080 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間:  4.55s | 弾数:  7/75  | Pellets: 1 | Dmg:    13,080 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間:  4.63s | 弾数:  6/75  | Pellets: 1 | Dmg:    10,464 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間:  4.72s | 弾数:  5/75  | Pellets: 1 | Dmg:    13,080 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間:  4.80s | 弾数:  4/75  | Pellets: 1 | Dmg:    10,464 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Shoot] 時間:  4.88s | 弾数:  3/75  | Pellets: 1 | Dmg:    13,080 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Skill Dmg] 時間:  4.88s | 名前:S1: 不安定エネルギー (通常)_Stage_0 | Dmg:   367,978 | Hits:3 | Buffs:crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Debuff] Applied S1: 不安定エネルギー (通常)_Stage_1 (taken_dmg_debuff) to Enemy (Shared)
[Shoot] 時間:  4.97s | 弾数:  2/75  | Pellets: 1 | Dmg:    11,511 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:12777.00 | max_ammo_rate:0.25
[Burst] Activate!
[Buff] Applied Burst: カウンターチェーン_Stage_0 (special_skill_dmg_buff: 1.0) to イヴ
[Buff] Applied Burst: カウンターチェーン_Stage_1 (atk_buff_fixed: 12777.0) to イヴ
[Shoot] 時間:  5.05s | 弾数:  1/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  5.13s | 弾数:  0/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  6.52s | 弾数: 74/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  6.60s | 弾数: 73/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  6.68s | 弾数: 72/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  6.77s | 弾数: 71/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  6.85s | 弾数: 70/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  6.93s | 弾数: 69/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.02s | 弾数: 68/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.10s | 弾数: 67/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.18s | 弾数: 66/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.27s | 弾数: 65/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.35s | 弾数: 64/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.43s | 弾数: 63/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.52s | 弾数: 62/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.60s | 弾数: 61/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.68s | 弾数: 60/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.77s | 弾数: 59/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.85s | 弾数: 58/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  7.93s | 弾数: 57/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.02s | 弾数: 56/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.10s | 弾数: 55/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.18s | 弾数: 54/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.27s | 弾数: 53/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.35s | 弾数: 52/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.43s | 弾数: 51/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.52s | 弾数: 50/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.60s | 弾数: 49/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.68s | 弾数: 48/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.77s | 弾数: 47/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.85s | 弾数: 46/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  8.93s | 弾数: 45/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.02s | 弾数: 44/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.10s | 弾数: 43/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.18s | 弾数: 42/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.27s | 弾数: 41/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.35s | 弾数: 40/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.43s | 弾数: 39/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.52s | 弾数: 38/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.60s | 弾数: 37/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.68s | 弾数: 36/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.77s | 弾数: 35/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.85s | 弾数: 34/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間:  9.93s | 弾数: 33/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.02s | 弾数: 32/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.10s | 弾数: 31/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.18s | 弾数: 30/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.27s | 弾数: 29/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.35s | 弾数: 28/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.43s | 弾数: 27/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.52s | 弾数: 26/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.60s | 弾数: 25/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.68s | 弾数: 24/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.77s | 弾数: 23/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Skill Dmg] 時間: 10.77s | 名前:S1: 不安定エネルギー (通常)_Stage_0 | Dmg: 1,484,176 | Hits:3 | Buffs:crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Debuff] Applied S1: 不安定エネルギー (通常)_Stage_1 (taken_dmg_debuff) to Enemy (Shared)
[Shoot] 時間: 10.85s | 弾数: 22/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 10.93s | 弾数: 21/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.02s | 弾数: 20/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.10s | 弾数: 19/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.18s | 弾数: 18/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.27s | 弾数: 17/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.35s | 弾数: 16/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.43s | 弾数: 15/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.52s | 弾数: 14/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.60s | 弾数: 13/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.68s | 弾数: 12/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.77s | 弾数: 11/75  | Pellets: 1 | Dmg:    23,022 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
[Shoot] 時間: 11.85s | 弾数: 10/75  | Pellets: 1 | Dmg:    19,185 | Buffs: crit_rate_buff:0.60 | atk_buff_fixed:25554.00 | max_ammo_rate:0.25 | special_skill_dmg_buff:1.00
