[Barrier] キロ applied Shield (nano_coating) (Val:0.2112, Dur:99999s)
[Shoot] 時間:  7.12s | 弾数:221/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.17s | 弾数:220/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.22s | 弾数:219/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.27s | 弾数:218/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.32s | 弾数:217/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  7.37s | 弾数:216/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.42s | 弾数:215/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.47s | 弾数:214/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.52s | 弾数:213/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.57s | 弾数:212/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  7.62s | 弾数:211/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  7.67s | 弾数:210/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.72s | 弾数:209/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.77s | 弾数:208/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.82s | 弾数:207/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.87s | 弾数:206/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  7.92s | 弾数:205/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  7.97s | 弾数:204/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.02s | 弾数:203/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.07s | 弾数:202/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.12s | 弾数:201/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.17s | 弾数:200/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.22s | 弾数:199/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.27s | 弾数:198/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.32s | 弾数:197/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.37s | 弾数:196/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.42s | 弾数:195/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.47s | 弾数:194/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.52s | 弾数:193/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.57s | 弾数:192/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.62s | 弾数:191/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.67s | 弾数:190/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.72s | 弾数:189/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.77s | 弾数:188/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.82s | 弾数:187/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.87s | 弾数:186/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  8.92s | 弾数:185/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  8.97s | 弾数:184/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.02s | 弾数:183/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.07s | 弾数:182/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.12s | 弾数:181/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  9.17s | 弾数:180/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.22s | 弾数:179/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  9.27s | 弾数:178/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.32s | 弾数:177/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.37s | 弾数:176/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.42s | 弾数:175/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.47s | 弾数:174/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  9.52s | 弾数:173/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.57s | 弾数:172/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.62s | 弾数:171/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  9.67s | 弾数:170/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.72s | 弾数:169/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  9.77s | 弾数:168/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.82s | 弾数:167/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.87s | 弾数:166/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間:  9.92s | 弾数:165/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間:  9.97s | 弾数:164/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.02s | 弾数:163/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.07s | 弾数:162/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 10.12s | 弾数:161/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.17s | 弾数:160/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.22s | 弾数:159/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.27s | 弾数:158/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.32s | 弾数:157/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.37s | 弾数:156/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.42s | 弾数:155/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.47s | 弾数:154/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.52s | 弾数:153/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.57s | 弾数:152/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.62s | 弾数:151/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.67s | 弾数:150/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.72s | 弾数:149/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.77s | 弾数:148/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 10.82s | 弾数:147/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.87s | 弾数:146/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 10.90s | 弾数:145/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.93s | 弾数:144/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 10.97s | 弾数:143/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.00s | 弾数:142/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.03s | 弾数:141/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.07s | 弾数:140/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 11.10s | 弾数:139/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.13s | 弾数:138/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 11.17s | 弾数:137/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.20s | 弾数:136/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.23s | 弾数:135/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.27s | 弾数:134/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.30s | 弾数:133/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.33s | 弾数:132/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.37s | 弾数:131/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.40s | 弾数:130/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.43s | 弾数:129/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.47s | 弾数:128/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.50s | 弾数:127/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.53s | 弾数:126/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.57s | 弾数:125/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.60s | 弾数:124/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.63s | 弾数:123/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.67s | 弾数:122/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.70s | 弾数:121/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.73s | 弾数:120/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.77s | 弾数:119/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.80s | 弾数:118/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.83s | 弾数:117/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.87s | 弾数:116/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.90s | 弾数:115/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.93s | 弾数:114/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 11.97s | 弾数:113/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.00s | 弾数:112/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.03s | 弾数:111/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.07s | 弾数:110/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 12.10s | 弾数:109/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.13s | 弾数:108/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.17s | 弾数:107/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.20s | 弾数:106/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.23s | 弾数:105/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.27s | 弾数:104/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.30s | 弾数:103/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.33s | 弾数:102/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.37s | 弾数:101/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.40s | 弾数:100/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Buff] Applied Skill 2: 自己修復 (バリア回復) (dummy_effect: 0.0285) to キロ
[Shoot] 時間: 12.43s | 弾数: 99/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.47s | 弾数: 98/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.50s | 弾数: 97/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.53s | 弾数: 96/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 12.57s | 弾数: 95/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.60s | 弾数: 94/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.63s | 弾数: 93/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.67s | 弾数: 92/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.70s | 弾数: 91/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.73s | 弾数: 90/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.77s | 弾数: 89/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.80s | 弾数: 88/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.83s | 弾数: 87/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.87s | 弾数: 86/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.90s | 弾数: 85/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.93s | 弾数: 84/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 12.97s | 弾数: 83/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.00s | 弾数: 82/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.03s | 弾数: 81/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.07s | 弾数: 80/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 13.10s | 弾数: 79/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.13s | 弾数: 78/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.17s | 弾数: 77/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.20s | 弾数: 76/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.23s | 弾数: 75/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.27s | 弾数: 74/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.30s | 弾数: 73/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 13.33s | 弾数: 72/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.37s | 弾数: 71/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.40s | 弾数: 70/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.43s | 弾数: 69/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.47s | 弾数: 68/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 13.50s | 弾数: 67/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.53s | 弾数: 66/300 | Pellets: 1 | Dmg:     2,851 | Buffs: shield:0.21
[Shoot] 時間: 13.57s | 弾数: 65/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
[Shoot] 時間: 13.60s | 弾数: 64/300 | Pellets: 1 | Dmg:     2,375 | Buffs: shield:0.21
